id,first_name,surname,sex,email,city_id,monthly_budget,date of birth
1,Ollie ,Kinney,M,Ol.Kinney@walla.co.il,4,1000,1972/12/07
2,  Landon,Bishop,F,La.Bi@gmail.com,4,500,1964/05/31
3,Jia,Delarosa,M,Jia.De@gmail.com,4,500,1987/12/13
4, Valentina,Ratcliffe,F,Va.Ratcliffe@gmail.com,4,600,1983/06/05
5,Stacie,Patel,F,St.Patel@hotmail.com,3,500,1982/10/03
6,Fallon,Case,M,Fa.Case@walla.co.il,3,600,1997/03/07
7,Asia,Tang,F,Asia.Ta@hotmail.com,4,500,1973/01/13
8,Jadine,Holt,F,Ja.Holt@yahoo.com,5,600,1993/11/04
9, Maison,Watt,M,Maison.Watt@gmail.com,2,500,1987/01/29
10,Mahad,Ware,M,Ma.Ware@walla.co.il,5,600,1972/12/08
11,Louisa,Grant,F,Lo.Gr@gmail.com,2,600,1988/01/20
12,Glyn,Cooper,M,Gl.Co@hotmail.com,3,500,1968/05/12
13, Jed,Fuentes,M,Je.Fu@hotmail.com,5,1000,1993/02/21
14,Clarke,Ponce,M,Clarke.Ponce@walla.co.il,2,600,1982/04/26
15,Krystal,Bridges,F,Krystal.Bridges@hotmail.com,4,500,1987/01/23
16,Sonia,Rosales,F,So.Ro@yahoo.com,5,500,2003/04/15
17, Ellis,Coates,F,El.Co@gmail.com,3,500,1981/09/12
18,Rohan,Farrell,F,Ro.Fa@yahoo.com,3,800,1982/03/02
19,Nico,Hastings,M,Ni.Hastings@walla.co.il,5,1000,1990/05/16
20,Adelina,Ashley,F,Ad.As@hotmail.com,4,800,1986/03/11
21,Marlon,Day,M,Marlon.Day@gmail.com,1,600,1989/11/14
22,Mikaela,Croft,F,Mi.Croft@gmail.com,5,1000,1968/11/14
23,Isla-Rose,Heaton,F,Isla-Rose.He@gmail.com,3,800,1991/08/17
24,Amy-Louise,Mayo,F,Am.Mayo@gmail.com,4,500,1982/11/22
25,Safwan,Flowers,M,Sa.Flowers@hotmail.com,1,600,1979/07/04
26,Estelle,Doherty,F,Estelle.Do@hotmail.com,4,1000,1980/11/05
27,Seth,Calvert,M,Se.Ca@walla.co.il,3,1000,1975/02/05
28,Cassidy,Villa,F,Cassidy.Villa@walla.co.il,1,600,1996/05/07
29,Madison,Sanchez,F,Madison.Sanchez@hotmail.com,3,800,1974/01/13
30,Anisah,Downs,F,An.Do@yahoo.com,3,1000,1974/10/31
31,Kaisha,Watkins,F,Kaisha.Watkins@walla.co.il,2,1000,1983/10/21
32,Fox,Hunt,M,Fox.Hu@walla.co.il,4,500,1998/09/14
33,Elspeth,Zuniga,F,El.Zu@gmail.com,3,500,1967/09/28
34,Leoni,Lindsay,F,Leoni.Lindsay@yahoo.com,2,800,1990/12/16
35,Ines,Lott,M,Ines.Lo@hotmail.com,5,1000,1983/12/26
36,Sarah,Crossley,F,Sarah.Cr@hotmail.com,1,600,1978/05/05
37,Robert,Mckee,M,Robert.Mckee@gmail.com,4,800,1968/06/09
38,Nathalie,Marshall,F,Na.Marshall@yahoo.com,5,600,1982/03/17
39,Alyx,Conway,M,Alyx.Conway@walla.co.il,1,800,1981/04/17
40,Mairead,Acevedo,F,Ma.Acevedo@walla.co.il,4,600,2012/10/21
41,Hadi,Gardiner,M,Hadi.Ga@hotmail.com,4,500,1979/12/08
42,Aahil,Redman,M,Aahil.Re@hotmail.com,3,1000,1992/07/03
43,Simrah,Greig,F,Si.Greig@yahoo.com,4,600,1984/10/25
44,Evie,Berg,F,Ev.Be@gmail.com,4,600,1979/02/10
45,Jaime,Britton,M,Jaime.Britton@walla.co.il,1,800,1980/12/14
46,Mariyah,Green,F,Ma.Green@walla.co.il,4,1000,1981/04/12
47,Joyce,Newton,F,Joyce.Ne@gmail.com,4,500,2007/02/22
48,Kaison,Harvey,M,Kaison.Harvey@yahoo.com,2,600,1978/05/07
49,Blane,Compton,M,Bl.Co@gmail.com,3,800,2004/05/28
50,Jayda,Lord,F,Jayda.Lord@walla.co.il,1,600,2001/07/04
51,Essa,Hope,M,Essa.Ho@walla.co.il,4,500,1977/09/26
